"date","name","value"
2021-09-01,"AL",131
2021-09-01,"TN",178
2021-09-01,"SC",170
2021-09-01,"LA",151
2021-09-01,"DE",156
2021-09-01,"GA",158
2021-09-01,"OR",274
2021-09-01,"MD",194
2021-09-01,"RI",214
2021-09-01,"AK",191
2021-09-01,"ID",262
2021-09-01,"CT",186
2021-09-01,"AR",128
2021-09-01,"AZ",233
2021-09-01,"NM",271
2021-09-01,"WA",329
2021-09-01,"IL",169
2021-09-01,"UT",233
2021-09-01,"NC",173
2021-09-01,"MN",167
2021-09-01,"NV",232
2021-09-01,"NH",211
2021-09-01,"WV",141
2021-09-01,"VA",216
2021-09-01,"MO",132
2021-09-01,"KS",148
2021-09-01,"CA",472
2021-09-01,"FL",212
2021-09-01,"ME",196
2021-09-01,"MA",345
2021-09-01,"MI",151
2021-09-01,"IA",175
2021-09-01,"PA",163
2021-09-01,"NY",414
2021-09-01,"CO",217
2021-09-01,"HI",601
2021-09-01,"WI",144
2021-09-01,"NE",134
2021-09-01,"NJ",255
2021-09-01,"MS",124
2021-09-01,"IN",124
2021-09-01,"OH",130
2021-09-01,"OK",125
2021-09-01,"KY",135
2021-09-01,"VT",185
2021-09-01,"TX",166
2021-09-01,"DC",529
