"date","name","value"
2021-10-01,"NC",327800
2021-10-01,"DC",706000
2021-10-01,"WV",282400
2021-10-01,"NJ",409900
2021-10-01,"GA",328200
2021-10-01,"LA",257700
2021-10-01,"SC",309900
2021-10-01,"AL",254300
2021-10-01,"ID",466200
2021-10-01,"MS",233700
2021-10-01,"PA",265000
2021-10-01,"DE",293500
2021-10-01,"RI",387900
2021-10-01,"MN",312500
2021-10-01,"HI",693400
2021-10-01,"NH",367300
2021-10-01,"TN",346300
2021-10-01,"VA",413400
2021-10-01,"CO",531400
2021-10-01,"MA",527800
2021-10-01,"NY",502300
2021-10-01,"OK",219700
2021-10-01,"MO",226600
2021-10-01,"VT",322700
2021-10-01,"FL",344400
2021-10-01,"MD",373600
2021-10-01,"WA",576700
2021-10-01,"IL",269800
2021-10-01,"AR",225200
2021-10-01,"OH",210400
2021-10-01,"NM",471800
2021-10-01,"AK",336500
2021-10-01,"KY",236900
2021-10-01,"KS",314900
2021-10-01,"NV",398900
2021-10-01,"WI",246800
2021-10-01,"UT",500800
2021-10-01,"TX",330200
2021-10-01,"NE",249500
2021-10-01,"MI",225200
2021-10-01,"CA",762900
2021-10-01,"ME",315100
2021-10-01,"AZ",416400
2021-10-01,"IN",247400
2021-10-01,"CT",324500
2021-10-01,"OR",475400
2021-10-01,"IA",246100
2021-09-01,"AL",253800
2021-09-01,"TN",331800
2021-09-01,"SC",301400
2021-09-01,"LA",259300
2021-09-01,"DE",284900
2021-09-01,"GA",317600
2021-09-01,"OR",474300
2021-09-01,"MD",371400
2021-09-01,"RI",403000
2021-09-01,"AK",335900
2021-09-01,"ID",461000
2021-09-01,"CT",332400
2021-09-01,"AR",223400
2021-09-01,"AZ",408000
2021-09-01,"NM",481900
2021-09-01,"WA",570000
2021-09-01,"IL",270200
2021-09-01,"UT",499000
2021-09-01,"NC",324700
2021-09-01,"MN",315600
2021-09-01,"NV",399400
2021-09-01,"NH",380000
2021-09-01,"WV",253400
2021-09-01,"VA",407200
2021-09-01,"MO",234300
2021-09-01,"KS",310100
2021-09-01,"CA",755500
2021-09-01,"FL",341200
2021-09-01,"ME",320900
2021-09-01,"MA",530800
2021-09-01,"MI",228800
2021-09-01,"IA",254500
2021-09-01,"PA",266900
2021-09-01,"NY",501200
2021-09-01,"CO",530500
2021-09-01,"HI",689700
2021-09-01,"WI",249700
2021-09-01,"NE",251700
2021-09-01,"NJ",421000
2021-09-01,"MS",226700
2021-09-01,"IN",248000
2021-09-01,"OH",211600
2021-09-01,"OK",217600
2021-09-01,"KY",234300
2021-09-01,"VT",314700
2021-09-01,"TX",326400
2021-09-01,"DC",615000
2021-08-01,"OR",477400
2021-08-01,"NE",255300
2021-08-01,"OK",218500
2021-08-01,"NY",531000
2021-08-01,"TX",330100
2021-08-01,"ME",311900
2021-08-01,"MA",551000
2021-08-01,"GA",318500
2021-08-01,"MO",232200
2021-08-01,"AK",333900
2021-08-01,"WV",262000
2021-08-01,"FL",339400
2021-08-01,"DE",293200
2021-08-01,"SC",307900
2021-08-01,"NM",473300
2021-08-01,"MD",383400
2021-08-01,"NV",394800
2021-08-01,"TN",335500
2021-08-01,"OH",217700
2021-08-01,"DC",660000
2021-08-01,"IL",281500
2021-08-01,"NH",385600
2021-08-01,"IA",245800
2021-08-01,"KS",316900
2021-08-01,"AL",252000
2021-08-01,"CT",351700
2021-08-01,"IN",245100
2021-08-01,"HI",691500
2021-08-01,"VT",322000
2021-08-01,"AR",220800
2021-08-01,"NC",322800
2021-08-01,"PA",278100
2021-08-01,"CA",760000
2021-08-01,"UT",491200
2021-08-01,"WA",582300
2021-08-01,"NJ",429100
2021-08-01,"MI",232700
2021-08-01,"WI",255100
2021-08-01,"MS",229100
2021-08-01,"LA",254700
2021-08-01,"ID",460200
2021-08-01,"CO",530500
2021-08-01,"AZ",403200
2021-08-01,"RI",387800
2021-08-01,"KY",233800
2021-08-01,"MN",325100
2021-08-01,"VA",414600
2021-07-01,"NY",530200
2021-07-01,"DE",306200
2021-07-01,"ME",313300
2021-07-01,"KY",241300
2021-07-01,"MN",322000
2021-07-01,"NM",433400
2021-07-01,"WV",269800
2021-07-01,"WA",591200
2021-07-01,"MA",565000
2021-07-01,"OH",219100
2021-07-01,"NJ",428600
2021-07-01,"LA",258200
2021-07-01,"VT",316000
2021-07-01,"VA",430100
2021-07-01,"AK",345900
2021-07-01,"PA",278300
2021-07-01,"SC",301400
2021-07-01,"OK",218200
2021-07-01,"MS",223600
2021-07-01,"NV",399300
2021-07-01,"UT",496300
2021-07-01,"IN",251900
2021-07-01,"ID",463500
2021-07-01,"KS",331500
2021-07-01,"GA",324200
2021-07-01,"NH",377300
2021-07-01,"MD",385500
2021-07-01,"FL",341500
2021-07-01,"CA",772000
2021-07-01,"OR",478400
2021-07-01,"TN",333200
2021-07-01,"NC",322700
2021-07-01,"TX",334300
2021-07-01,"MO",238200
2021-07-01,"AZ",401300
2021-07-01,"IL",291500
2021-07-01,"MI",237600
2021-07-01,"WI",256300
2021-07-01,"RI",391300
2021-07-01,"IA",245400
2021-07-01,"HI",668800
2021-07-01,"CO",541200
2021-07-01,"AL",259200
2021-07-01,"CT",369700
2021-07-01,"DC",675000
2021-07-01,"AR",223600
2021-07-01,"NE",252800
2021-06-01,"WV",268900
2021-06-01,"UT",494300
2021-06-01,"TN",335400
2021-06-01,"WI",261600
2021-06-01,"NC",326500
2021-06-01,"AR",215600
2021-06-01,"MN",327900
2021-06-01,"MA",568200
2021-06-01,"IA",246700
2021-06-01,"WA",593100
2021-06-01,"VT",327700
2021-06-01,"IN",247500
2021-06-01,"ME",315700
2021-06-01,"MD",386700
2021-06-01,"DC",704000
2021-06-01,"LA",271300
2021-06-01,"SC",306500
2021-06-01,"VA",445200
2021-06-01,"TX",336100
2021-06-01,"CO",535100
2021-06-01,"OR",478500
2021-06-01,"OH",220900
2021-06-01,"AL",254500
2021-06-01,"MO",237400
2021-06-01,"ID",460700
2021-06-01,"KY",242100
2021-06-01,"GA",327100
2021-06-01,"HI",669600
2021-06-01,"NH",373500
2021-06-01,"OK",219200
2021-06-01,"NV",386500
2021-06-01,"CA",786500
2021-06-01,"KS",327300
2021-06-01,"RI",395500
2021-06-01,"DE",300200
2021-06-01,"FL",341600
2021-06-01,"NE",256800
2021-06-01,"NJ",429500
2021-06-01,"MS",228800
2021-06-01,"MI",236000
2021-06-01,"AK",353100
2021-06-01,"NY",527700
2021-06-01,"CT",377200
2021-06-01,"NM",462300
2021-06-01,"AZ",397600
